WBS ID,도메인,작업명,설명,담당자,시작일,종료일,상태
RSV-4.2,예약/시설(Reservation),예약 시설 조회 제공,"RES-RSV-01: 예약 가능한 공용시설 목록 로드 로직 구현",팀원 4,2026-04-04,2026-04-06,진행전
RSV-4.3,예약/시설(Reservation),주단위 타임테이블 UI 개발,"RES-RSV-02: 시간/날짜별 신청 가능 슬롯(격자) 달력 UI 개발",팀원 4,2026-04-07,2026-04-11,진행전
RSV-4.4,예약/시설(Reservation),예약 신청/취소 기능 연동,"RES-RSV-03~04: 중복 예약 방지 기능 및 예약 취소 로직 API 및 UI 구현",팀원 4,2026-04-12,2026-04-15,진행전
RSV-4.5,예약/시설(Reservation),관리자 예약현황/승인 관리,"ADM-RSV-01~02: 전체 예약 리스트 조회 및 예약 승인/취소 시스템",팀원 4,2026-04-16,2026-04-18,진행전
RSV-4.6,예약/시설(Reservation),예약 기능 버그 수정 및 최적화,"일정 관련 날짜 오류 보완 해결",팀원 4,2026-04-19,2026-04-20,진행전
IOT-5.1,IoT/모니터링(Device),DB 및 엔티티 구현,"DEVICE 및 DEVICE_TYPE·CONTROL_LOG 테이블 JPA 연동",팀원 5,2026-04-01,2026-04-03,진행전
IOT-5.2,IoT/모니터링(Device),통합 디바이스 관리 CRUD,"ADM-DEV-01~06: 관리자의 전체 기기 확인 및 제어 로직 API/UI 개발",팀원 5,2026-04-04,2026-04-08,진행전
IOT-5.3,IoT/모니터링(Device),Mock IoT 기기 제어 연동,"RES-DEV-01~02: 입주자의 공용공간 및 개인공간 제어·권한 검증 구현",팀원 5,2026-04-09,2026-04-12,진행전
IOT-5.4,IoT/모니터링(Device),제어 이력 로깅 시스템,"RES-LOG-01: 사용 로그 수집 및 사용자 기기 사용기록 확인 UI 제공",팀원 5,2026-04-13,2026-04-15,진행전
IOT-5.5,IoT/모니터링(Device),장애/에너지 모니터링,"ADM-MON-01~02: 기기 에러 목록 및 제어 빈도 기반 통계 차트 대시보드 연계",팀원 5,2026-04-16,2026-04-18,진행전
IOT-5.6,IoT/모니터링(Device),IoT 기능 버그 수정 및 최적화,"Mock Server 통신 예외 제어 처리",팀원 5,2026-04-19,2026-04-20,진행전
CS-6.1,커뮤니티/CS(CS),DB 및 엔티티 설계 구현,"POST / COMMENT / VOC / NOTIFICATION 레포지토리 및 JPA 연동",팀원 6,2026-04-01,2026-04-03,진행전
CS-6.2,커뮤니티/CS(CS),커뮤니티 게시판 제어,"CMN-CMT-01~02: 전체 공지/자유글 리스트 뷰 & 작성/수정/삭제 CRUD 구현",팀원 6,2026-04-04,2026-04-08,진행전
CS-6.3,커뮤니티/CS(CS),댓글 및 좋아요 시스템 연동,"CMN-CMT-03: 댓글 트리 렌더링 및 좋아요 비정규화 카운트 동기화 로직",팀원 6,2026-04-09,2026-04-11,진행전
CS-6.4,커뮤니티/CS(CS),VoC(민원) 프로세스 구축,"ADM-VOC-01 대응: 민원 문의 폼 작성/조회 및 관리자 답변/상태 관리 기능",팀원 6,2026-04-12,2026-04-15,진행전
CS-6.5,커뮤니티/CS(CS),Notification (알림) 시스템 구축,"웹소켓/SSE/Polling 기반으로 시스템 이벤트(계약, 승인, 답변 등) 알림 통지",팀원 6,2026-04-16,2026-04-18,진행전
CS-6.6,커뮤니티/CS(CS),CS 기능 버그 수정 및 최적화,"권한 기반 글노출 처리 예외 복구 및 UI 연동",팀원 6,2026-04-19,2026-04-20,진행전
